Date,Year,Time step,Cumu Total Orders (ML),Farm Orders,Other Orders,Env Orders,TS HR Alloc. (ML),TS LR Alloc. (ML),Cumu. Camp HR Alloc. (ML),Cumu. Camp LR Alloc. (ML),Camp HR Alloc. (%),Camp LR Alloc. (%),Env HR Alloc (ML),Env LR Alloc (ML),Adj HR Alloc (%),Adj LR Alloc (%),GMW Vol (ML),Goulburn HR Alloc. (%),Goulburn LR Alloc. (%),Inflow (ML),Dam Vol (ML),Daily Dam Release (ML),Avail. Carryover (ML),Next Year's Reserves (ML)
2013-11-25,33,13,1819.4387202,0.0,0.0,120.0,31639.3612798,0.0,31802.8,14728.1,100.0,100.0,25016.5612798,0.0,78.859035024,73.3935673427,247849.852218,100.0,NA,285.880631106,302994.036707,38.7409022219,13865.06,31802.8
2013-12-02,33,14,1819.4387202,0.0,0.0,0.0,31639.3612798,0.0,31802.8,14728.1,100.0,100.0,24896.5612798,0.0,78.859035024,73.3935673427,246850.166416,100.0,NA,217.846941782,301842.94137,16.7384958416,13865.06,31802.8
2013-12-16,33,15,1819.4387202,0.0,0.0,0.0,31639.3612798,0.0,31802.8,14728.1,100.0,100.0,24896.5612798,0.0,78.859035024,73.3935673427,248726.78688,100.0,NA,22.7692654353,304326.580588,2.80437610252,13865.06,31802.8
2013-12-30,33,16,1819.4387202,0.0,0.0,0.0,31639.3612798,0.0,31802.8,14728.1,100.0,100.0,24896.5612798,0.0,78.859035024,73.3935673427,246235.605807,100.0,NA,1.04903180556e-153,301311.324155,1.178,13865.06,31802.8
2014-01-13,33,17,1819.4387202,0.0,0.0,0.0,31639.3612798,0.0,31802.8,14728.1,100.0,100.0,24896.5612798,0.0,78.859035024,73.3935673427,243525.783222,100.0,NA,4.13925526073e-178,298006.662465,1.178,13865.06,31802.8
2014-01-27,33,18,1819.4387202,0.0,0.0,0.0,31639.3612798,0.0,31802.8,14728.1,100.0,100.0,24896.5612798,0.0,78.859035024,73.3935673427,240221.899109,100.0,NA,32.2156790552,293945.31982,3.47911993251,13865.06,31802.8
2014-02-01,33,19,8419.4387202,0.0,0.0,6600.0,25039.3612798,0.0,31802.8,14728.1,100.0,100.0,24896.5612798,0.0,78.859035024,73.3935673427,238944.075296,100.0,NA,1.63326164399e-202,292419.213776,944.035142857,6405.66,31802.8
2014-02-10,33,20,14419.4387202,0.0,0.0,6000.0,19039.3612798,0.0,31802.8,14728.1,100.0,100.0,18296.5612798,0.0,78.859035024,73.3935673427,229956.66714,100.0,NA,216.990138109,281241.969788,873.820152722,6405.66,31802.8
2014-02-24,33,21,20419.4387202,0.0,0.0,6000.0,13039.3612798,0.0,31802.8,14728.1,100.0,100.0,12296.5612798,0.0,78.859035024,73.3935673427,211408.660274,100.0,NA,219.915706283,258619.523652,874.029121877,6405.66,31802.8
2014-03-10,33,22,20419.4387202,0.0,0.0,0.0,13039.3612798,0.0,31802.8,14728.1,100.0,100.0,6296.5612798,0.0,78.859035024,73.3935673427,196296.442771,100.0,NA,73.6452838076,240336.260535,6.43837741483,6405.66,31802.8
2014-03-16,33,23,20419.4387202,0.0,0.0,0.0,13039.3612798,0.0,31802.8,14728.1,100.0,100.0,6296.5612798,0.0,78.859035024,73.3935673427,193744.536684,100.0,NA,378.844547364,236918.980677,28.2383248117,6405.66,31802.8
2014-03-24,33,24,20419.4387202,0.0,0.0,0.0,13039.3612798,0.0,31802.8,14728.1,100.0,100.0,6296.5612798,0.0,78.859035024,73.3935673427,193331.486173,100.0,NA,144.243598255,236649.861491,11.481114161,6405.66,31802.8
2014-04-07,33,25,20419.4387202,0.0,0.0,0.0,13039.3612798,0.0,31802.8,14728.1,100.0,100.0,6296.5612798,0.0,78.859035024,73.3935673427,196228.244387,100.0,NA,33.8136959699,240292.923361,3.59326399785,6405.66,31802.8
2014-04-21,33,26,26419.4387202,0.0,0.0,6000.0,7039.3612798,0.0,31802.8,14728.1,100.0,100.0,6296.5612798,0.0,78.859035024,73.3935673427,204838.244213,100.0,NA,62.2076808404,250764.529164,862.764262917,6405.66,31802.8
2014-04-30,33,27,26419.4387202,0.0,0.0,0.0,7039.3612798,0.0,31802.8,14728.1,100.0,100.0,296.561279801,0.0,78.859035024,73.3935673427,200072.149027,100.0,NA,0.0,245014.425642,1.178,6405.66,31802.8
2014-07-01,34,1,120.0,0.0,0.0,120.0,31682.8,0.0,31802.8,0.0,100.0,0.0,25716.0,0.0,96.7554192716,0.0,254470.083177,74.0,NA,1725.31020725,309628.059521,141.557300518,6405.66,0.0
2014-07-15,34,2,1120.0,0.0,1000.0,0.0,32338.8,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,96.7554192716,73.3935673427,260385.407698,100.0,NA,4480.49173665,314086.688383,294.035142857,6405.66,31802.8
2014-07-29,34,3,1120.0,0.0,0.0,0.0,32338.8,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,96.7554192716,73.3935673427,255231.34792,100.0,NA,2215.14605854,310066.595308,151.178,6405.66,31802.8
2014-08-12,34,4,1240.0,0.0,0.0,120.0,32218.8,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,96.7554192716,73.3935673427,250697.414553,100.0,NA,1255.4646389,305497.089694,107.996902779,6405.66,31802.8
2014-08-25,34,5,7360.0,0.0,0.0,6120.0,26098.8,0.0,31802.8,14728.1,100.0,100.0,25476.0,0.0,96.7554192716,73.3935673427,249909.886344,100.0,NA,1044.59665633,304747.557422,950.077761167,6405.66,31802.8
2014-08-26,34,6,7480.0,0.0,0.0,120.0,25978.8,0.0,31802.8,14728.1,100.0,100.0,19356.0,0.0,96.7554192716,73.3935673427,249335.01075,100.0,NA,394.347985096,304696.738295,46.488570364,6405.66,31802.8
